TELEFONE;NOME;CIDADE;MODELO;PLACA
11989888877;MARIA CLARA;AMERICANA;TIGGO 8 PHEV;HGB7B99
(11)987654321;ANA BEATRIZ SILVA;AMERICANA;C507 -TIGGO 7 1.5 SPORT;AAA1A11
(21)998765432;JOÃO PEDRO SANTOS;AMERICANA;C705 - TIGGO 5X SPORT 23/24;BBB2B22
(31)987654321;MARIA FERNANDA OLIVEIRA;AMERICANA;TIGGO 7 1.5 SPORT;CCC3C33
(41)998765432;CARLOS EDUARDO LIMA;AMERICANA;C506 - TIGGO 7 1.5 SPORT 24/25;DDD4D44
(51)987654321;JULIANA COSTA PEREIRA;AMERICANA;C891 - TIGGO 8 PHEV 23/24;EEE5E55
(61)998765432;ROBERTO ALMEIDA SOUZA;AMERICANA;CAOACHERY TIGGO 8 1.6 TGDI CIN;FFF6F66
(71)987654321;FERNANDA ROCHA MENDES;AMERICANA;C891 - TIGGO 8 PHEV;GGG7G77
(81)998765432;LUCAS HENRIQUE FERREIRA;AMERICANA;TIGGO 7 1.5 SPORT;HHH8H88
(91)987654321;PATRÍCIA GOMES CARVALHO;AMERICANA;C506 - TIGGO 7 1.5 SPORT 24/25;III9I99
(27)998765432;RAFAEL NUNES RODRIGUES;AMERICANA;C891 - TIGGO 8 PHEV;JJJ1J11
(13)987654321;CAMILA TORRES BARBOSA;AMERICANA;C705 - TIGGO 5X SPORT 23/24;KKK2K22
(19)998765432;DIEGO MARTINS RIBEIRO;AMERICANA;C705 - TIGGO 5X SPORT 23/24;LLL3L33
(24)987654321;LETÍCIA RAMOS DIAS;AMERICANA;CAOACHERY TIGGO 7 PRO MAX DRIV;MMM4M44
(34)998765432;GUSTAVO LOPES CARDOSO;AMERICANA;C889 - TIGGO 8 16TA 25/26;NNN5N55
(48)987654321;VANESSA PORTO ANDRADE;AMERICANA;TIGGO5X SPORT;OOO6O66
(55)998765432;THIAGO BORGES CUNHA;AMERICANA;C887 - TIGGO 8 1.6TA MAX DRIVE  23/24;PPP7P77
(73)987654321;ISABELA DUARTE FONTES;AMERICANA;TIGGO 7 1.5 SPORT;QQQ8Q88
(85)998765432;MATHEUS VIEIRA NOGUEIRA;AMERICANA;C855 - TIGGO 8 1.6 TGDI;RRR9R99
(88)987654321;SOFIA AZEVEDO MOREIRA;AMERICANA;TIGGO7 PRO  HA;SSS1S11
(92)998765432;PEDRO HENRIQUE CASTRO;AMERICANA;ARRIZO 6 PRO 1.5L T;TTT2T22
(35)987654321;LAURA MONTEIRO FARIAS;AMERICANA;C506 - TIGGO 7 1.5 SPORT 24/25;UUU3U33
