TELEFONE;NOME;CIDADE;MODELO;PLACA
(11)932890007;LUCAS RIBEIRO DOS SANTOS;SÃO PAULO;TIGGO 7 1.5 SPORT;KCF1WN
(11)991083233;GUILHERME MARAYAN;SÃO PAULO;C855 - TIGGO 8 1.6 TGDI;YPU9AR
(11)997722408;LUCAS SOUZA;SÃO PAULO;TIGGO5X SPORT;QQK94E
(19)9241696651;DANIELA MORAES PEREIRA;SÃO PAULO;TIGGO5X SPORT;RHC54K
(81)9859371068;HEITOR FONSECA;SÃO PAULO;ARRIZO 6 PRO 1.5L T;EVZ2XQ
(81)9850911713;NATHALIA OLIVEIRA PRADO;SÃO PAULO;C855 - TIGGO 8 1.6 TGDI;OCQ40H
(13)9930036595;EDUARDO SILVA COSTA;SÃO PAULO;ARRIZO 6 PRO 1.5L T;YNR85H
(81)9871324509;TATIANA VIEIRA LIMA;SÃO PAULO;C889 - TIGGO 8 16TA 25/26;AGR4CF
(61)9017490841;RAQUEL AZEVEDO SOUZA;SÃO PAULO;CAOACHERY TIGGO 8 1.6 TGDI CIN;QCZ3Q3
(31)9165979398;GABRIELA NUNES RAMOS;SÃO PAULO;CAOACHERY TIGGO 7 PRO MAX DRIV;SMV5Z9
(41)9963362306;CAIO HENRIQUE ALVES;SÃO PAULO;C705 - TIGGO 5X SPORT 23/24;LBI5XI
(91)9731983515;DANIELA MORAES PEREIRA;SÃO PAULO;C887 - TIGGO 8 1.6TA MAX DRIVE  23/24;YCL2NJ
(81)9071734570;GABRIELA NUNES RAMOS;SÃO PAULO;C889 - TIGGO 8 16TA 25/26;XEH6DQ
(41)9424145917;DANIELA MORAES PEREIRA;SÃO PAULO;TIGGO5X SPORT;FNZ2EH
(13)9905672333;ANDRE LUIZ SOARES;SÃO PAULO;TIGGO7 PRO  HA;AVM4OD
(51)9296297268;DANIELA MORAES PEREIRA;SÃO PAULO;C891 - TIGGO 8 PHEV 23/24;CQB31W
(21)9095870922;KARINA BARBOSA LOPES;SÃO PAULO;TIGGO5X SPORT;FJB374
(11)9703326271;TATIANA VIEIRA LIMA;SÃO PAULO;TIGGO7 PRO  HA;GLG1IL
(81)9503657964;MARCOS ANTONIO RIBEIRO;SÃO PAULO;C887 - TIGGO 8 1.6TA MAX DRIVE  23/24;HZN3L5
(91)9732104108;VICTOR HUGO MARTINS;SÃO PAULO;TIGGO 7 1.5 SPORT;NBH20K
(91)9809900182;SANDRA GOMES NOGUEIRA;SÃO PAULO;TIGGO5X SPORT;WDL9DJ
(41)9842909333;VICTOR HUGO MARTINS;SÃO PAULO;TIGGO 8 PHEV;SCO73M
(12)9713268858;HEITOR VIEIRA FONSECA;SÃO PAULO;C855 - TIGGO 8 1.6 TGDI;LQB73A
